original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
5411 E WILLIAM CANNON DR,30.17886262,-97.74630916,1,2026-04-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1708 E CESAR CHAVEZ ST,30.25786614,-97.72598155,1,2026-04-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 14,30.36652906,-97.69300392,1,2026-04-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 16,30.36652906,-97.69300392,1,2026-04-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
701 W LONGSPUR BLVD BLDG 13,30.36652906,-97.69300392,1,2026-04-23,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG G UNIT 1,,,1,2026-04-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12129 N FM 620 RD BLDG A UNIT 100,,,1,2026-04-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5315 ED BLUESTEIN BLVD NB,,,1,2026-04-29,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
6711 BURNET LN,30.34287954,-97.73669117,1,2026-05-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2304 HANCOCK DR,30.32443112,-97.74231098,6,2026-05-01,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
1400 GEOFFS DR,30.16223556,-97.82471513,1,2026-05-01,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
403 E KOENIG LN,30.32106007,-97.7172993,1,2026-05-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1716 SAN ANTONIO ST,30.28073781,-97.74333168,1,2026-05-04,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5800 BURNET RD,,,1,2026-05-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5501 N LAMAR BLVD BLDG C UNIT 123,30.32316452,-97.72758391,8,2026-05-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 7,30.37632539,-97.68510677,1,2026-05-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 3,30.37632539,-97.68510677,1,2026-05-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2506 E CESAR CHAVEZ ST,30.25433675,-97.71610056,1,2026-05-05,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
12625 N IH 35 SVRD NB BLDG A,30.40950098,-97.67276231,1,2026-05-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 E HOWARD LN BLDG D UNIT 1,,,1,2026-05-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1000 E 41ST ST,30.30046387,-97.71965158,1,2026-05-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3016 E 51ST ST,,,1,2026-05-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13505 N FM 620 RD NB,30.47215452,-97.7832102,1,2026-05-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2110 W SLAUGHTER LN,30.17542488,-97.82564841,1,2026-05-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
310 W 2ND ST,,,1,2026-05-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
62 EAST AVE,30.25804629,-97.73824079,215,2026-05-08,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
1900 BARTON SPRINGS RD BLDG 1 UNIT 1004,,,2,2026-05-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8100 BIRD SONG CIR,,,1,2026-05-12,Active,HOME (matched to Plan Review Case),high,,,,
5426 GUADALUPE ST,30.3221013,-97.72601796,2,2026-05-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
300 FERGUSON DR BLDG 4,30.37632539,-97.68510677,1,2026-05-12,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
408 W 33RD ST,30.29955971,-97.73904528,3,2026-05-12,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1326 LAMAR SQUARE DR,30.25486196,-97.76474503,101,2026-05-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2142 E 7TH ST,30.2619593,-97.71805156,2,2026-05-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5010 W US 290 HWY WB,,,2,2026-05-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3009 E 14TH ST,30.27783385,-97.70391614,1,2026-05-17,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1804 S 6TH ST,30.24929858,-97.76312533,1,2026-05-18,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1504 E 11TH ST,30.26782389,-97.72497435,1,2026-05-18,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2350 GUADALUPE ST,30.2874486,-97.74183324,1,2026-05-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
411 W 34TH ST,30.29972706,-97.73888865,3,2026-05-19,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2913 1/2 S 1ST ST,30.23540587,-97.76363127,1,2026-05-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6801 1/2 BURNET RD,,,1,2026-05-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 BARTON SPRINGS RD BLDG 1 UNIT 1005,,,2,2026-05-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7000 JOHNNY MORRIS RD BLDG 1,,,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1704 MIRIAM AVE BLDG 2,,,1,2026-05-20,Active,HOME (matched to Plan Review Case),high,,,,
7000 JOHNNY MORRIS RD BLDG 2,,,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4210 W BRAKER LN,30.40009239,-97.73995396,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1525 W KOENIG LN,30.33199763,-97.73444438,1,2026-05-20,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1010 E CESAR CHAVEZ ST,30.26046527,-97.733699,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12901 N IH 35 SVRD NB BLDG 11 UNIT 1100,30.41525799,-97.67013132,2,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7000 JOHNNY MORRIS RD BLDG 3,,,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9313 CAMERON RD,,,1,2026-05-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5000 E CESAR CHAVEZ ST,30.25181954,-97.70009746,1,2026-05-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4205 RAMSEY AVE,30.31298176,-97.7451861,1,2026-05-21,Active,HOME (matched to Plan Review Case),high,,,,
9300 S IH 35 SVRD SB BLDG F,,,1,2026-05-21,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
11511 N FM 620 RD,,,1,2026-05-21,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
608 BLANCO ST,30.27343541,-97.75709911,1,2026-05-22,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
12901 N IH 35 SVRD NB BLDG 11 UNIT 1100,30.41525799,-97.67013132,1,2026-05-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5010 W US 290 HWY WB,,,1,2026-05-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13649 RUTLEDGE SPUR BLDG 2,30.47739162,-97.78115681,1,2026-05-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
55 N IH 35 SVRD NB,30.2562044,-97.73611062,2,2026-05-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1320 ART DILLY DR BLDG 1,,,225,2026-05-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13649 RUTLEDGE SPUR BLDG 1,30.47739162,-97.78115681,1,2026-05-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
401 RIDGEWOOD RD UNIT A,,,1,2026-05-26,Active,HOME (matched to Plan Review Case),high,,,,
6318 BURNET RD,,,2,2026-05-27,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
900 CHICON ST,30.2646673,-97.72136842,1,2026-05-28,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9900 S IH 35 SVRD SB BLDG F UNIT 100,,,1,2026-05-28,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1809 S 1ST ST,30.24673967,-97.75595182,1,2026-05-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1422 E 51ST ST,,,1,2026-06-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
601 N LAMAR BLVD,30.27179971,-97.75344496,2,2026-06-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
12400 N IH 35 SVRD SB BLDG B,,,1,2026-06-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2114 HASKELL ST,30.2514195,-97.7228831,3,2026-06-01,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
5111 BURNET RD,,,1,2026-06-02,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
9215 S 1ST ST,30.1709086,-97.80048758,1,2026-06-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
937 REINLI ST,30.31852376,-97.70960425,1,2026-06-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1402 VALLEYRIDGE DR BLDG 3,,,1,2026-06-08,Active,HOME (matched to Plan Review Case),high,,,,
1402 VALLEYRIDGE DR BLDG 2,,,1,2026-06-08,Active,HOME (matched to Plan Review Case),high,,,,
6317 FM 2244 RD,30.29636981,-97.83218847,1,2026-06-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4970 W US 290 HWY WB,,,1,2026-06-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3027 N LAMAR BLVD,30.2998767,-97.74601932,2,2026-06-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2500 GIVENS AVE,30.28174665,-97.71582638,1,2026-06-08,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1000 E 41ST ST BLDG J UNIT 200A,30.30046387,-97.71965158,1,2026-06-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5301 SOUTHWEST PKWY BLDG 1 UNIT 220,30.24357546,-97.84150985,1,2026-06-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2411 E MARTIN LUTHER KING JR BLVD,30.28045033,-97.71551295,1,2026-06-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13649 RUTLEDGE SPUR BLDG 3,30.47739162,-97.78115681,1,2026-06-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13649 RUTLEDGE SPUR BLDG 4,30.47739162,-97.78115681,1,2026-06-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
13649 RUTLEDGE SPUR BLDG LEASE,,,1,2026-06-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3230 TRAVIS COUNTRY CIR,30.25411108,-97.84416202,1,2026-06-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4102 MENCHACA RD,30.23202185,-97.78753954,1,2026-06-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6707 EMERALD FOREST DR,30.19953888,-97.79325885,1,2026-06-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-06-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
9900 W PARMER LN BLDG A UNIT 215,,,1,2026-06-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1911 E 11TH ST,30.26560606,-97.71979365,1,2026-06-15,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1011 S CONGRESS AVE BLDG 1 UNIT 120,30.25349256,-97.74794018,1,2026-06-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
915 W JOHANNA ST,30.2471819,-97.76263047,1,2026-06-16,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
102 E RUNDBERG LN BLDG B,,,3,2026-06-17,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1621 E CESAR CHAVEZ ST BLDG EV,,,1,2026-06-17,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1122 COLORADO ST,30.27405126,-97.74289951,1,2026-06-18,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
4812 GONZALES ST,30.25590674,-97.6970301,1,2026-06-18,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1011 E 53RD HALF ST,30.31237556,-97.7099521,1,2026-06-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1414 E 51ST ST,,,1,2026-06-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2500 W WILLIAM CANNON DR BLDG 2 UNIT 204,30.20656318,-97.81288674,2,2026-06-22,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
5505 MANOR RD,,,2,2026-06-23,Active,HOME (matched to Plan Review Case),high,,,,
1136 AIRPORT BLVD,,,1,2026-06-23,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8601 TALLWOOD DR,30.37702109,-97.74860934,2,2026-06-24,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
608 BLANCO ST,30.27343541,-97.75709911,1,2026-06-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 SAN GABRIEL ST,30.29856518,-97.74685637,1,2026-06-26,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4001 W PARMER LN,,,1,2026-06-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11001 LAKELINE BLVD BLDG 1 UNIT 300,30.4800554,-97.7945502,2,2026-06-29,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
611 S CONGRESS AVE,30.25534375,-97.74713343,1,2026-06-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5502 CLAY AVE,30.32903685,-97.73926407,2,2026-06-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5500 CLAY AVE,30.32893866,-97.73930476,2,2026-06-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5301 SOUTHWEST PKWY BLDG 1 UNIT 300,30.24357546,-97.84150985,1,2026-07-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
512 SABINE ST,30.26592121,-97.73637518,232,2026-07-01,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
219 LESSIN LN BLDG 9,30.22669308,-97.76446484,1,2026-07-01,Active,HOME (matched to Plan Review Case),high,,,,
4623 PHILCO DR BLDG 1,,,1,2026-07-01,Active,HOME (matched to Plan Review Case),high,,,,
6433 CHAMPION GRANDVIEW WAY BLDG 2,30.36307541,-97.79300205,2,2026-07-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6433 CHAMPION GRANDVIEW WAY BLDG 1,30.36307541,-97.79300205,2,2026-07-01,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4623 PHILCO DR BLDG 2,,,1,2026-07-01,Active,HOME (matched to Plan Review Case),high,,,,
512 SABINE ST,30.26592121,-97.73637518,232,2026-07-01,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
512 SABINE ST,30.26592121,-97.73637518,232,2026-07-01,Active,,,"SB840 (by-right, no overlay/case on record)",high,,
5027 MANOR RD,,,1,2026-07-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1803 S 1ST ST,30.24713124,-97.75572913,1,2026-07-02,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4308 NORWOOD LN,30.1888102,-97.68721646,1,2026-07-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1601 WATERSTON AVE,30.28059772,-97.75903748,1,2026-07-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4415 SINCLAIR AVE BLDG 2,,,2,2026-07-06,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1900 E HOWARD LN BLDG F UNIT 1,,,1,2026-07-08,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4700 PHILCO DR,30.22306763,-97.78882383,2,2026-07-08,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4402 S CONGRESS AVE,30.21736858,-97.767848,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
714 E BEN WHITE BLVD SVRD WB,,,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1900 BARTON SPRINGS RD BLDG 1 UNIT 1004,,,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4709 1/2 BURNET RD,,,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7930 W US 290 HWY,,,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11206 S IH 35 SVRD SB,,,1,2026-07-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
714 E BEN WHITE BLVD SVRD WB,,,1,2026-07-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
714 E BEN WHITE BLVD SVRD WB,,,1,2026-07-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2204 THORNTON RD BLDG D,,,2,2026-07-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
714 E BEN WHITE BLVD SVRD WB,,,1,2026-07-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6305 CAMINO REAL BLDG 2,,,1,2026-07-10,Active,HOME (matched to Plan Review Case),high,,,,
714 E BEN WHITE BLVD SVRD WB,,,1,2026-07-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1124 CLAYTON LN,30.31787155,-97.70033017,1,2026-07-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1525 W KOENIG LN,30.33199763,-97.73444438,2,2026-07-14,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,1,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,1,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,8,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,85,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,1,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE BLDG 2,,,70,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,101,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,8,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,8,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE BLDG 1,,,145,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,7,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,25,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,6,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,7,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11800 N LAMAR BLVD BLDG 6,30.38832035,-97.68406668,1,2026-07-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6608 S CONGRESS AVE,30.19428387,-97.77892172,1,2026-07-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
500 PAMPA DR,30.33383768,-97.71605869,1,2026-07-16,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
3831 STECK AVE,30.37250326,-97.75070655,1,2026-07-17,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1124 S IH 35 SVRD SB,,,2,2026-07-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1124 S IH 35 SVRD SB,,,2,2026-07-19,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1136 AIRPORT BLVD,,,1,2026-07-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
514 E LIVE OAK ST,30.24031588,-97.74849251,1,2026-07-20,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
12901 N IH 35 SVRD NB BLDG 2,30.41525799,-97.67013132,2,2026-07-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2013 RIVERVIEW ST,30.25079017,-97.72520323,1,2026-07-20,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
606 RATHERVUE PL,30.29228462,-97.73210352,1,2026-07-20,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,8,2026-07-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,1,2026-07-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11001 LAKELINE BLVD BLDG 1 UNIT 300,30.4800554,-97.7945502,1,2026-07-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
845 BLACKSON AVE,,,8,2026-07-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2915 E CESAR CHAVEZ ST,30.25179227,-97.71137316,1,2026-07-21,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4605 HANK AVE BLDG 2,,,1,2026-07-21,Active,HOME (matched to Plan Review Case),high,,,,
4605 HANK AVE BLDG 1,,,1,2026-07-21,Active,HOME (matched to Plan Review Case),high,,,,
4201 WESTBANK DR,30.27555169,-97.81653571,2,2026-07-21,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1722 MEANDER DR,,,1,2026-07-22,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2219 GARDEN ST,30.25245356,-97.72085612,1,2026-07-22,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,8,2026-07-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,8,2026-07-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6818 AUSTIN CENTER BLVD,30.35058809,-97.75177851,2,2026-07-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
401 NORTH BLUFF DR,30.1967548,-97.77402166,1,2026-07-22,Active,HOME (matched to Plan Review Case),high,,,,
800 E ST JOHNS AVE,30.33241941,-97.70252992,8,2026-07-22,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7710 N FM 620 RD BLDG 14,,,1,2026-07-23,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
8701 MENCHACA RD BLDG 1 UNIT 107,30.18508663,-97.8162613,1,2026-07-27,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1317 1/2 BASTROP HWY SVRD,,,1,2026-07-27,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4700 AVENUE G,30.31087488,-97.72469193,1,2026-07-27,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4701 WEST GATE BLVD BLDG C,30.22868908,-97.80088844,1,2026-07-27,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2204 THORNTON RD BLDG C,,,2,2026-07-27,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2819 RIO GRANDE ST,30.29507122,-97.74367283,1,2026-07-27,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1124 S IH 35 SVRD SB,,,2,2026-07-28,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6001 W PARMER LN,,,1,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2910 MEDICAL ARTS ST BLDG 1,,,7,2026-07-29,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1302 S 1ST ST,30.25146957,-97.75455205,1,2026-07-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1302 S 1ST ST,30.25146957,-97.75455205,1,2026-07-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1302 S 1ST ST,30.25146957,-97.75455205,1,2026-07-30,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7104 MC NEIL DR,30.43722949,-97.76452498,1,2026-07-31,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
910 E ST JOHNS AVE BLDG 2,,,1,2026-08-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1000 W MARTIN LUTHER KING JR BLVD,,,1,2026-08-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
910 E ST JOHNS AVE BLDG 3,,,1,2026-08-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
910 E ST JOHNS AVE BLDG 1,,,1,2026-08-03,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2500 W WILLIAM CANNON DR BLDG 2 UNIT 204,30.20656318,-97.81288674,1,2026-08-04,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
107 W MILTON ST,30.24710704,-97.7515229,1,2026-08-04,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
4420 JESTER DR,30.22582508,-97.7854479,1,2026-08-05,Active,HOME (matched to Plan Review Case),high,,,,
